             subject_context                                      name operation                                   object_context  reference_result  medusa_result
system_u:system_r:httpd_t:s0                              /dev/urandom      read            system_u:object_r:urandom_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                  /proc/fb     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                                 /proc/dma     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                                 /proc/irq      read                system_u:object_r:sysctl_irq_t:s0                 0              1
system_u:system_r:httpd_t:s0                                 /proc/sys      read                    system_u:object_r:sysctl_t:s0                 0              1
system_u:system_r:httpd_t:s0                                /proc/keys     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                                /proc/misc     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                                /proc/stat     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /proc/iomem     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /proc/locks     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /proc/swaps     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                              /proc/crypto     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                              /proc/uptime     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                              /proc/vmstat     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                             /proc/cgroups     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                             /proc/cmdline     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                             /proc/cpuinfo     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                             /proc/devices     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                             /proc/ioports     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                             /proc/loadavg     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                             /proc/modules     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                             /proc/version     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                            /proc/consoles     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                            /proc/slabinfo     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                            /proc/softirqs     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                            /proc/zoneinfo     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                           /proc/buddyinfo     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                           /proc/diskstats     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                           /proc/key-users     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                          /proc/interrupts     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                          /proc/kpagecount     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                          /proc/kpageflags     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                          /proc/partitions     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                          /proc/timer_list     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                         /proc/execdomains     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                         /proc/filesystems     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                         /proc/vmallocinfo     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                        /proc/pagetypeinfo     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:httpd_t:s0                       /proc/sysrq-trigger      read                    system_u:object_r:sysctl_t:s0                 0              1
system_u:system_r:httpd_t:s0                             /run/faillock      read                   system_u:object_r:faillog_t:s0                 0              1
system_u:system_r:httpd_t:s0                             /run/faillock     write                   system_u:object_r:faillog_t:s0                 0              1
system_u:system_r:httpd_t:s0                                 /run/utmp      read            system_u:object_r:initrc_var_run_t:s0                 0              1
system_u:system_r:httpd_t:s0                                 /run/utmp     write            system_u:object_r:initrc_var_run_t:s0                 0              1
system_u:system_r:httpd_t:s0                           /etc/authselect     write                       system_u:object_r:etc_t:s0                 0              1
system_u:system_r:httpd_t:s0                           /proc/sys/debug      read                    system_u:object_r:sysctl_t:s0                 0              1
system_u:system_r:httpd_t:s0                             /proc/sys/dev      read                system_u:object_r:sysctl_dev_t:s0                 0              1
system_u:system_r:httpd_t:s0                              /proc/sys/fs      read                 system_u:object_r:sysctl_fs_t:s0                 0              1
system_u:system_r:httpd_t:s0                            /proc/sys/user      read                    system_u:object_r:sysctl_t:s0                 0              1
system_u:system_r:httpd_t:s0                              /proc/sys/vm      read                 system_u:object_r:sysctl_vm_t:s0                 0              1
system_u:system_r:httpd_t:s0                     /etc/ssh/ssh_config.d     write                       system_u:object_r:etc_t:s0                 0              1
system_u:system_r:httpd_t:s0                    /etc/ssh/sshd_config.d     write                       system_u:object_r:etc_t:s0                 0              1
system_u:system_r:httpd_t:s0                     /usr/bin/systemd-hwdb      read         system_u:object_r:systemd_hwdb_exec_t:s0                 0              1
system_u:system_r:httpd_t:s0                 /usr/bin/systemd-tmpfiles      read     system_u:object_r:systemd_tmpfiles_exec_t:s0                 0              1
system_u:system_r:httpd_t:s0                          /usr/bin/udevadm      read                 system_u:object_r:udev_exec_t:s0                 0              1
system_u:system_r:httpd_t:s0                          /usr/bin/rpcbind      read              system_u:object_r:rpcbind_exec_t:s0                 0              1
system_u:system_r:httpd_t:s0                            /usr/bin/mandb      read                system_u:object_r:mandb_exec_t:s0                 0              1
system_u:system_r:httpd_t:s0                         /usr/bin/kdumpctl      read             system_u:object_r:kdumpctl_exec_t:s0                 0              1
system_u:system_r:httpd_t:s0                   /usr/bin/abrt-watch-log      read       system_u:object_r:abrt_watch_log_exec_t:s0                 0              1
system_u:system_r:httpd_t:s0                      /usr/bin/fusermount3      read           system_u:object_r:fusermount_exec_t:s0                 0              1
system_u:system_r:httpd_t:s0                           /usr/bin/initdb      read           system_u:object_r:postgresql_exec_t:s0                 0              1
system_u:system_r:httpd_t:s0                           /usr/bin/pg_ctl      read           system_u:object_r:postgresql_exec_t:s0                 0              1
system_u:system_r:httpd_t:s0                         /usr/bin/postgres      read           system_u:object_r:postgresql_exec_t:s0                 0              1
system_u:system_r:httpd_t:s0                       /usr/bin/postmaster      read           system_u:object_r:postgresql_exec_t:s0                 0              1
system_u:system_r:httpd_t:s0                          /usr/lib64/games      read                system_u:object_r:games_exec_t:s0                 0              1
system_u:system_r:httpd_t:s0              /usr/lib64/cracklib_dict.hwm      read                  system_u:object_r:crack_db_t:s0                 0              1
system_u:system_r:httpd_t:s0              /usr/lib64/cracklib_dict.pwi      read                  system_u:object_r:crack_db_t:s0                 0              1
system_u:system_r:httpd_t:s0              /usr/lib64/cracklib_dict.pwd      read                  system_u:object_r:crack_db_t:s0                 0              1
system_u:system_r:httpd_t:s0                /usr/share/crypto-policies     write                       system_u:object_r:usr_t:s0                 0              1
system_u:system_r:httpd_t:s0           /proc/sys/kernel/dmesg_restrict      read             system_u:object_r:proc_security_t:s0                 0              1
system_u:system_r:httpd_t:s0            /proc/sys/kernel/kptr_restrict      read             system_u:object_r:proc_security_t:s0                 0              1
system_u:system_r:httpd_t:s0         /proc/sys/kernel/modules_disabled      read             system_u:object_r:proc_security_t:s0                 0              1
system_u:system_r:httpd_t:s0              /proc/sys/kernel/ns_last_pid      read system_u:object_r:sysctl_kernel_ns_last_pid_t:s0                 0              1
system_u:system_r:httpd_t:s0       /proc/sys/kernel/randomize_va_space      read             system_u:object_r:proc_security_t:s0                 0              1
system_u:system_r:httpd_t:s0        /usr/share/crypto-policies/DEFAULT     write                       system_u:object_r:usr_t:s0                 0              1
system_u:system_r:httpd_t:s0          /usr/share/crypto-policies/EMPTY     write                       system_u:object_r:usr_t:s0                 0              1
system_u:system_r:httpd_t:s0       /usr/share/crypto-policies/FEDORA38     write                       system_u:object_r:usr_t:s0                 0              1
system_u:system_r:httpd_t:s0           /usr/share/crypto-policies/FIPS     write                       system_u:object_r:usr_t:s0                 0              1
system_u:system_r:httpd_t:s0         /usr/share/crypto-policies/FUTURE     write                       system_u:object_r:usr_t:s0                 0              1
system_u:system_r:httpd_t:s0         /usr/share/crypto-policies/LEGACY     write                       system_u:object_r:usr_t:s0                 0              1
system_u:system_r:httpd_t:s0  /usr/share/crypto-policies/TEST-FEDORA39     write                       system_u:object_r:usr_t:s0                 0              1
system_u:system_r:httpd_t:s0      /usr/share/crypto-policies/back-ends     write                       system_u:object_r:usr_t:s0                 0              1
system_u:system_r:httpd_t:s0       /usr/share/crypto-policies/policies     write                       system_u:object_r:usr_t:s0                 0              1
system_u:system_r:httpd_t:s0 /usr/share/crypto-policies/default-config     write                       system_u:object_r:usr_t:s0                 0              1
system_u:system_r:httpd_t:s0 /usr/share/crypto-policies/reload-cmds.sh     write                       system_u:object_r:usr_t:s0                 0              1
system_u:system_r:httpd_t:s0         /usr/share/crypto-policies/python     write                       system_u:object_r:usr_t:s0                 0              1
