             subject_context                                      name operation                                        object_context  reference_result  medusa_result
system_u:system_r:httpd_t:s0                                /dev/vcsa6      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                /dev/vcsu6      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                 /dev/vcs6      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                /dev/vcsa5      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                /dev/vcsu5      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                 /dev/vcs5      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                /dev/vcsa4      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                /dev/vcsu4      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                 /dev/vcs4      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                /dev/vcsa3      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                /dev/vcsu3      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                 /dev/vcs3      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                /dev/vcsa2      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                /dev/vcsu2      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                 /dev/vcs2      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                /dev/cdrom      read               system_u:object_r:removable_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                  /dev/rtc      read                   system_u:object_r:clock_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                          /dev/vhost-vsock      read                   system_u:object_r:vhost_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                            /dev/vhost-net      read                   system_u:object_r:vhost_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                 /dev/vhci      read                   system_u:object_r:vhost_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /dev/uinput      read                   system_u:object_r:event_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                  /dev/ppp      read                     system_u:object_r:ppp_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                 /dev/fuse      read                    system_u:object_r:fuse_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                              /dev/initctl      read                        system_u:object_r:initctl_t:s0                 0              1
system_u:system_r:httpd_t:s0                                /dev/zram0      read              system_u:object_r:fixed_disk_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                 /dev/dm-0      read              system_u:object_r:fixed_disk_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                  /dev/fb0      read                system_u:object_r:framebuf_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                             /dev/vboxuser      read            system_u:object_r:xserver_misc_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                            /dev/vboxguest      read            system_u:object_r:xserver_misc_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /dev/rfkill      read                system_u:object_r:wireless_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                 /dev/uhid      read                    system_u:object_r:uhid_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                         /dev/loop-control      read            system_u:object_r:loop_control_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                  /dev/log      read                         system_u:object_r:devlog_t:s0                 0              1
system_u:system_r:httpd_t:s0                              /dev/hidraw0      read                     system_u:object_r:usb_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /dev/stderr      read                unconfined_u:object_r:user_devpts_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /dev/stdout      read                unconfined_u:object_r:user_devpts_t:s0                 0              1
system_u:system_r:httpd_t:s0                                /dev/stdin      read                unconfined_u:object_r:user_devpts_t:s0                 0              1
system_u:system_r:httpd_t:s0                                   /dev/fd      read unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023                 0              1
system_u:system_r:httpd_t:s0                                 /dev/core      read                     system_u:object_r:proc_kcore_t:s0                 0              1
system_u:system_r:httpd_t:s0                                  /dev/sg1      read            system_u:object_r:scsi_generic_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                  /dev/sr0      read               system_u:object_r:removable_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                 /dev/sda3      read              system_u:object_r:fixed_disk_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                 /dev/sda2      read              system_u:object_r:fixed_disk_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                 /dev/sda1      read              system_u:object_r:fixed_disk_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                  /dev/sda      read              system_u:object_r:fixed_disk_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                  /dev/sg0      read            system_u:object_r:scsi_generic_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                        /dev/btrfs-control      read                    system_u:object_r:lvm_control_t:s0                 0              1
system_u:system_r:httpd_t:s0                      /dev/cpu_dma_latency      read              system_u:object_r:netcontrol_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /dev/mcelog      read                    system_u:object_r:kmsg_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                 /dev/rtc0      read                   system_u:object_r:clock_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                              /dev/usbmon2      read                  system_u:object_r:usbmon_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                              /dev/usbmon1      read                  system_u:object_r:usbmon_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                              /dev/usbmon0      read                  system_u:object_r:usbmon_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                              /dev/udmabuf      read                     system_u:object_r:dma_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                /dev/nvram      read                   system_u:object_r:nvram_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                                 /dev/hpet      read                   system_u:object_r:clock_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /dev/ttyS31      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /dev/ttyS30      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /dev/ttyS29      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /dev/ttyS28      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /dev/ttyS27      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /dev/ttyS26      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /dev/ttyS25      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /dev/ttyS24      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /dev/ttyS23      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /dev/ttyS22      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /dev/ttyS21      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /dev/ttyS20      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /dev/ttyS19      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /dev/ttyS18      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /dev/ttyS17      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /dev/ttyS16      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /dev/ttyS15      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:httpd_t:s0                               /dev/ttyS14      read                     system_u:object_r:tty_device_t:s0                 0              1
