             subject_context                                                         name operation                                object_context  reference_result  medusa_result
system_u:system_r:httpd_t:s0                                               /dev/hugepages      read              system_u:object_r:hugetlbfs_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                     /dev/shm      read                  system_u:object_r:tmpfs_t:s0                 1              0
system_u:system_r:httpd_t:s0                                            /proc/filesystems      read                   system_u:object_r:proc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                   /run/httpd      read          system_u:object_r:httpd_var_run_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                   /run/httpd     write          system_u:object_r:httpd_var_run_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                   /etc/fstab      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                /etc/crypttab      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                     /etc/dnf      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                   /etc/fonts      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                               /etc/libreport      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                             /etc/logrotate.d      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                /etc/terminfo      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                  /etc/libssh      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                     /etc/pki      read                   system_u:object_r:cert_t:s0                 1              0
system_u:system_r:httpd_t:s0                                             /etc/yum.repos.d      read            system_u:object_r:system_conf_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                /etc/depmod.d      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                             /etc/sysctl.conf      read            system_u:object_r:system_conf_t:s0                 1              0
system_u:system_r:httpd_t:s0                                               /etc/sudoers.d      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                 /etc/issue.d      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                             /etc/krb5.conf.d      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                              /etc/debuginfod      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                     /etc/ssl      read                   system_u:object_r:cert_t:s0                 1              0
system_u:system_r:httpd_t:s0                                             /etc/cron.weekly      read                    system_u:object_r:bin_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                    /etc/swid      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                         /etc/crypto-policies      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                /etc/polkit-1      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                               /etc/sudo.conf      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                          /etc/fedora-release      read                    system_u:object_r:lib_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                   /etc/issue      read                    system_u:object_r:lib_t:s0                 1              0
system_u:system_r:httpd_t:s0                                               /etc/issue.net      read                    system_u:object_r:lib_t:s0                 1              0
system_u:system_r:httpd_t:s0                                              /etc/os-release      read                    system_u:object_r:lib_t:s0                 1              0
system_u:system_r:httpd_t:s0                                          /etc/redhat-release      read                    system_u:object_r:lib_t:s0                 1              0
system_u:system_r:httpd_t:s0                                          /etc/system-release      read                    system_u:object_r:lib_t:s0                 1              0
system_u:system_r:httpd_t:s0                                      /etc/system-release-cpe      read                    system_u:object_r:lib_t:s0                 1              0
system_u:system_r:httpd_t:s0                                           /etc/passwdqc.conf      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                  /etc/nanorc      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                             /etc/mke2fs.conf      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                /etc/nftables      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                             /etc/idmapd.conf      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                     /etc/sos      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                 /etc/DIR_COLORS.lightbgcolor      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                 /etc/default      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                              /etc/login.defs      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                           /etc/reader.conf.d      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                    /etc/virc      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                         /etc/trusted-key.key      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                              /etc/cron.daily      read                    system_u:object_r:bin_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                 /etc/sudoers      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                  /etc/motd.d      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                 /etc/passwd-      read            system_u:object_r:passwd_file_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                 /etc/systemd      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                /etc/sysctl.d      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                            /etc/libuser.conf      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                               /etc/profile.d      read                    system_u:object_r:bin_t:s0                 1              0
system_u:system_r:httpd_t:s0                                               /etc/.pwd.lock      read            system_u:object_r:passwd_file_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                   /etc/iscsi      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                  /etc/group-      read            system_u:object_r:passwd_file_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                   /etc/pam.d      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                            /etc/fprintd.conf      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                             /etc/cron.hourly      read                    system_u:object_r:bin_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                  /etc/bashrc      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                               /etc/csh.cshrc      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                               /etc/csh.login      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                             /etc/environment      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                              /etc/ethertypes      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                             /etc/filesystems      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                   /etc/group      read            system_u:object_r:passwd_file_t:s0                 1              0
system_u:system_r:httpd_t:s0                                               /etc/host.conf      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                   /etc/hosts      read               system_u:object_r:net_conf_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                 /etc/inputrc      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                    /etc/motd      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                /etc/networks      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                  /etc/passwd      read            system_u:object_r:passwd_file_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                 /etc/profile      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                               /etc/protocols      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                /etc/services      read                    system_u:object_r:etc_t:s0                 1              0
