             subject_context                                                         name operation                               object_context  reference_result  medusa_result
system_u:system_r:httpd_t:s0                                                     /dev/shm      read                 system_u:object_r:tmpfs_t:s0                 1              0
system_u:system_r:httpd_t:s0                                            /proc/filesystems      read                  system_u:object_r:proc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                   /run/httpd      read         system_u:object_r:httpd_var_run_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                   /run/httpd     write         system_u:object_r:httpd_var_run_t:s0                 1              0
system_u:system_r:httpd_t:s0                                      /run/httpd/htcacheclean      read         system_u:object_r:httpd_var_run_t:s0                 1              0
system_u:system_r:httpd_t:s0                                      /run/httpd/htcacheclean     write         system_u:object_r:httpd_var_run_t:s0                 1              0
system_u:system_r:httpd_t:s0                                            /etc/httpd/conf.d      read          system_u:object_r:httpd_config_t:s0                 1              0
system_u:system_r:httpd_t:s0                                              /etc/httpd/conf      read          system_u:object_r:httpd_config_t:s0                 1              0
system_u:system_r:httpd_t:s0                                    /etc/httpd/conf.modules.d      read          system_u:object_r:httpd_config_t:s0                 1              0
system_u:system_r:httpd_t:s0                                           /etc/httpd/modules      read         system_u:object_r:httpd_modules_t:s0                 1              0
system_u:system_r:httpd_t:s0                                               /etc/httpd/run      read         system_u:object_r:httpd_var_run_t:s0                 1              0
system_u:system_r:httpd_t:s0                                               /etc/httpd/run     write         system_u:object_r:httpd_var_run_t:s0                 1              0
system_u:system_r:httpd_t:s0                                             /etc/httpd/state      read         system_u:object_r:httpd_var_lib_t:s0                 1              0
system_u:system_r:httpd_t:s0                                             /etc/httpd/state     write         system_u:object_r:httpd_var_lib_t:s0                 1              0
system_u:system_r:httpd_t:s0                                               /var/lib/httpd      read         system_u:object_r:httpd_var_lib_t:s0                 1              0
system_u:system_r:httpd_t:s0                                               /var/lib/httpd     write         system_u:object_r:httpd_var_lib_t:s0                 1              0
system_u:system_r:httpd_t:s0                                             /var/cache/httpd      read           system_u:object_r:httpd_cache_t:s0                 1              0
system_u:system_r:httpd_t:s0                                             /var/cache/httpd     write           system_u:object_r:httpd_cache_t:s0                 1              0
system_u:system_r:httpd_t:s0                                             /var/www/cgi-bin      read system_u:object_r:httpd_sys_script_exec_t:s0                 1              0
system_u:system_r:httpd_t:s0                                     /etc/httpd/conf.d/README      read          system_u:object_r:httpd_config_t:s0                 1              0
system_u:system_r:httpd_t:s0                             /etc/httpd/conf.d/autoindex.conf      read          system_u:object_r:httpd_config_t:s0                 1              0
system_u:system_r:httpd_t:s0                               /etc/httpd/conf.d/userdir.conf      read          system_u:object_r:httpd_config_t:s0                 1              0
system_u:system_r:httpd_t:s0                               /etc/httpd/conf.d/welcome.conf      read          system_u:object_r:httpd_config_t:s0                 1              0
system_u:system_r:httpd_t:s0                                   /etc/httpd/conf/httpd.conf      read          system_u:object_r:httpd_config_t:s0                 1              0
system_u:system_r:httpd_t:s0                                        /etc/httpd/conf/magic      read          system_u:object_r:httpd_config_t:s0                 1              0
