                  subject_context                                      name operation                                   object_context  reference_result  medusa_result
system_u:system_r:postgresql_t:s0                                  /proc/fb     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                 /proc/dma     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                /proc/keys     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                /proc/misc     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                /proc/stat     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                               /proc/iomem     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                               /proc/locks     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                               /proc/swaps     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                              /proc/crypto     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                              /proc/uptime     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                              /proc/vmstat     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                             /proc/cgroups     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                             /proc/cmdline     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                             /proc/cpuinfo     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                             /proc/devices     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                             /proc/ioports     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                             /proc/loadavg     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                             /proc/modules     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                             /proc/version     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                            /proc/consoles     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                            /proc/slabinfo     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                            /proc/softirqs     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                            /proc/zoneinfo     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                           /proc/buddyinfo     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                           /proc/diskstats     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                           /proc/key-users     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                          /proc/interrupts     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                          /proc/kpagecount     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                          /proc/kpageflags     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                          /proc/partitions     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                          /proc/timer_list     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                         /proc/execdomains     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                         /proc/filesystems     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                         /proc/vmallocinfo     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                        /proc/pagetypeinfo     write                      system_u:object_r:proc_t:s0                 0              1
system_u:system_r:postgresql_t:s0                   /run/vboxadd-service.sh      read                   system_u:object_r:var_run_t:s0                 0              1
system_u:system_r:postgresql_t:s0                   /run/vboxadd-service.sh     write                   system_u:object_r:var_run_t:s0                 0              1
system_u:system_r:postgresql_t:s0                        /run/VBoxDRMClient      read                   system_u:object_r:var_run_t:s0                 0              1
system_u:system_r:postgresql_t:s0                        /run/VBoxDRMClient     write                   system_u:object_r:var_run_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                  /run/gdm      read               system_u:object_r:xdm_var_run_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                  /run/gdm     write               system_u:object_r:xdm_var_run_t:s0                 0              1
system_u:system_r:postgresql_t:s0                          /run/cron.reboot      read             system_u:object_r:crond_var_run_t:s0                 0              1
system_u:system_r:postgresql_t:s0                          /run/cron.reboot     write             system_u:object_r:crond_var_run_t:s0                 0              1
