                        subject_context                                                         name operation                                 object_context  reference_result  medusa_result
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                     /dev/shm      read                   system_u:object_r:tmpfs_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                               /etc/host.conf      read                     system_u:object_r:etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                   /etc/hosts      read                system_u:object_r:net_conf_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                /etc/hostname      read            system_u:object_r:hostname_etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                 /etc/postfix      read             system_u:object_r:postfix_etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                          /run/systemd/userdb      read system_u:object_r:systemd_userdbd_runtime_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                       /etc/authselect/custom     write                     system_u:object_r:etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                       /etc/ssh/sshd_config.d     write                     system_u:object_r:etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                /etc/postfix/dynamicmaps.cf.d      read             system_u:object_r:postfix_etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                 /etc/postfix/postfix-files.d      read             system_u:object_r:postfix_etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                          /etc/postfix/access      read             system_u:object_r:postfix_etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                       /etc/postfix/canonical      read             system_u:object_r:postfix_etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                  /etc/postfix/dynamicmaps.cf      read             system_u:object_r:postfix_etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                         /etc/postfix/generic      read             system_u:object_r:postfix_etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                   /etc/postfix/header_checks      read             system_u:object_r:postfix_etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                         /etc/postfix/main.cf      read             system_u:object_r:postfix_etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                   /etc/postfix/main.cf.proto      read             system_u:object_r:postfix_etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                       /etc/postfix/master.cf      read             system_u:object_r:postfix_etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                 /etc/postfix/master.cf.proto      read             system_u:object_r:postfix_etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                   /etc/postfix/postfix-files      read             system_u:object_r:postfix_etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                       /etc/postfix/relocated      read             system_u:object_r:postfix_etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                       /etc/postfix/transport      read             system_u:object_r:postfix_etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                         /etc/postfix/virtual      read             system_u:object_r:postfix_etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                /var/lib/misc      read                 system_u:object_r:var_lib_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                /var/lib/misc     write                 system_u:object_r:var_lib_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                           /var/lib/rpm-state      read                 system_u:object_r:var_lib_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                           /var/lib/rpm-state     write                 system_u:object_r:var_lib_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                          /var/lib/authselect      read                 system_u:object_r:var_lib_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                          /var/lib/authselect     write                 system_u:object_r:var_lib_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                           /var/lib/initramfs      read                 system_u:object_r:var_lib_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                           /var/lib/initramfs     write                 system_u:object_r:var_lib_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                           /var/lib/portables      read                 system_u:object_r:var_lib_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                           /var/lib/portables     write                 system_u:object_r:var_lib_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                             /var/lib/private      read                 system_u:object_r:var_lib_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                             /var/lib/private     write                 system_u:object_r:var_lib_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                            /var/lib/tpm2-tss      read                 system_u:object_r:var_lib_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                            /var/lib/tpm2-tss     write                 system_u:object_r:var_lib_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                               /var/lib/power-profiles-daemon      read                 system_u:object_r:var_lib_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                               /var/lib/power-profiles-daemon     write                 system_u:object_r:var_lib_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                  /var/lib/VBoxGuestAdditions      read             unconfined_u:object_r:var_lib_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                  /var/lib/VBoxGuestAdditions     write             unconfined_u:object_r:var_lib_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                            /var/lib/sepolgen      read          system_u:object_r:selinux_config_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                              /var/spool/mail      read              system_u:object_r:mail_spool_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                              /var/spool/abrt      read          system_u:object_r:abrt_var_cache_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                              /var/spool/abrt     write          system_u:object_r:abrt_var_cache_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                               /usr/sbin/genl      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                /usr/sbin/zic      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                            /usr/sbin/logsave      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                 /usr/sbin/ss      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                        /usr/sbin/iconvconfig      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                             /usr/sbin/mkswap      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                               /usr/sbin/vdpa      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                              /usr/sbin/capsh      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                             /usr/sbin/getcap      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                           /usr/sbin/getpcaps      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                             /usr/sbin/setcap      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                       /usr/sbin/alternatives      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                /usr/sbin/update-alternatives      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                            /usr/sbin/e2image      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                              /usr/sbin/nstat      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                   /usr/sbin/sasldblistusers2      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                        /usr/sbin/saslpasswd2      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                              /usr/sbin/grpck      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                               /usr/sbin/tipc      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                   /usr/sbin/key.dns_resolver      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                        /usr/sbin/request-key      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                       /usr/sbin/mklost+found      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                             /usr/sbin/cgdisk      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                           /usr/sbin/fixparts      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                              /usr/sbin/gdisk      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                             /usr/sbin/sgdisk      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                          /usr/sbin/chgpasswd      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                          /usr/sbin/badblocks      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                               /usr/sbin/arpd      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                /usr/sbin/dcb      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                           /usr/sbin/chpasswd      read             system_u:object_r:passwd_exec_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                               /usr/sbin/halt      read  system_u:object_r:systemd_systemctl_exec_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                   /usr/sbin/mount.lowntfs-3g      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                         /usr/sbin/mount.ntfs      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                      /usr/sbin/mount.ntfs-3g      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                    /usr/sbin/mount.ntfs-fuse      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                            /usr/sbin/debugfs      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                             /usr/sbin/e2undo      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                            /usr/sbin/devlink      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                         /usr/sbin/mksquashfs      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                            /usr/sbin/sqfscat      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                            /usr/sbin/sqfstar      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                         /usr/sbin/unsquashfs      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                        /usr/sbin/thin_repair      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                       /usr/sbin/thin_restore      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                          /usr/sbin/thin_rmap      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                          /usr/sbin/thin_trim      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                             /usr/sbin/ifstat      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                             /usr/sbin/skdump      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                             /usr/sbin/sktest      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                             /usr/sbin/sysctl      read                     system_u:object_r:bin_t:s0                 1              0
