                        subject_context                                                                  name operation                                   object_context  reference_result  medusa_result
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                              /dev/snd     write                    system_u:object_r:device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                             /dev/vfio     write                    system_u:object_r:device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                              /dev/net     write                    system_u:object_r:device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                           /dev/fedora     write                    system_u:object_r:device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                              /dev/dri     write                    system_u:object_r:device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/block     write                    system_u:object_r:device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                             /dev/disk     write                    system_u:object_r:device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                             /dev/char     write                    system_u:object_r:device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                              /dev/pts     write                    system_u:object_r:devpts_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                              /dev/bsg     write                    system_u:object_r:device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                           /dev/mapper     write                    system_u:object_r:device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/input     write                    system_u:object_r:device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                              /dev/bus     write                    system_u:object_r:device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                         /dev/dma_heap     write                    system_u:object_r:device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                              /dev/cpu     write                    system_u:object_r:device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                              /dev/tty     write                    system_u:object_r:devtty_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                              /proc/fs     write                      system_u:object_r:proc_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                             /proc/bus     write                      system_u:object_r:proc_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                             /proc/irq     write                system_u:object_r:sysctl_irq_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                             /proc/sys     write                    system_u:object_r:sysctl_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                             /proc/tty     write                      system_u:object_r:proc_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /proc/acpi     write                      system_u:object_r:proc_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                          /proc/driver     write                      system_u:object_r:proc_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                         /proc/sysvipc     write                      system_u:object_r:proc_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                   /proc/dynamic_debug     write                      system_u:object_r:proc_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                   /proc/sysrq-trigger     write                    system_u:object_r:sysctl_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                             /run/udev     write              system_u:object_r:udev_var_run_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                      /tmp/.iprt-localipc-DRMIpcServer     write                       system_u:object_r:tmp_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                       /tmp/.font-unix     write                system_u:object_r:user_fonts_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /etc/group     write               system_u:object_r:passwd_file_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                        /etc/host.conf     write                       system_u:object_r:etc_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /etc/hosts     write                  system_u:object_r:net_conf_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                           /etc/passwd     write               system_u:object_r:passwd_file_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                      /etc/ld.so.cache     write           unconfined_u:object_r:ld_so_cache_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                       /proc/sys/debug     write                    system_u:object_r:sysctl_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                         /proc/sys/dev     write                system_u:object_r:sysctl_dev_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                          /proc/sys/fs     write                 system_u:object_r:sysctl_fs_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                      /proc/sys/kernel     write             system_u:object_r:sysctl_kernel_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                         /proc/sys/net     write                system_u:object_r:sysctl_net_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                        /proc/sys/user     write                    system_u:object_r:sysctl_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                          /proc/sys/vm     write                 system_u:object_r:sysctl_vm_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                           /etc/authselect/system-auth     write                       system_u:object_r:etc_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                         /etc/authselect/password-auth     write                       system_u:object_r:etc_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                      /etc/authselect/fingerprint-auth     write                       system_u:object_r:etc_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                        /etc/authselect/smartcard-auth     write                       system_u:object_r:etc_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                             /etc/authselect/postlogin     write                       system_u:object_r:etc_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                         /etc/authselect/nsswitch.conf     write                       system_u:object_r:etc_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                              /etc/authselect/dconf-db     write                       system_u:object_r:etc_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                           /etc/authselect/dconf-locks     write                       system_u:object_r:etc_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                       /etc/authselect/authselect.conf     write                       system_u:object_r:etc_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                       /etc/ssh/moduli     write                       system_u:object_r:etc_t:s0                 0              0
