                      subject_context                                                           name operation                           object_context  reference_result  medusa_result
system_u:system_r:postfix_master_t:s0                                                       /dev/shm      read             system_u:object_r:tmpfs_t:s0                 1              0
system_u:system_r:postfix_master_t:s0                                                       /etc/dnf     write               system_u:object_r:etc_t:s0                 1              0
system_u:system_r:postfix_master_t:s0                                                     /etc/fonts     write               system_u:object_r:etc_t:s0                 1              0
system_u:system_r:postfix_master_t:s0                                                 /etc/libreport     write               system_u:object_r:etc_t:s0                 1              0
system_u:system_r:postfix_master_t:s0                                               /etc/logrotate.d     write               system_u:object_r:etc_t:s0                 1              0
system_u:system_r:postfix_master_t:s0                                                  /etc/terminfo     write               system_u:object_r:etc_t:s0                 1              0
system_u:system_r:postfix_master_t:s0                                                    /etc/libssh     write               system_u:object_r:etc_t:s0                 1              0
system_u:system_r:postfix_master_t:s0                                                  /etc/depmod.d     write               system_u:object_r:etc_t:s0                 1              0
system_u:system_r:postfix_master_t:s0                                                 /etc/sudoers.d     write               system_u:object_r:etc_t:s0                 1              0
system_u:system_r:postfix_master_t:s0                                                   /etc/issue.d     write               system_u:object_r:etc_t:s0                 1              0
system_u:system_r:postfix_master_t:s0                                               /etc/krb5.conf.d     write               system_u:object_r:etc_t:s0                 1              0
system_u:system_r:postfix_master_t:s0                                                /etc/debuginfod     write               system_u:object_r:etc_t:s0                 1              0
system_u:system_r:postfix_master_t:s0                                                      /etc/swid     write               system_u:object_r:etc_t:s0                 1              0
system_u:system_r:postfix_master_t:s0                                           /etc/crypto-policies     write               system_u:object_r:etc_t:s0                 1              0
system_u:system_r:postfix_master_t:s0                                                  /etc/polkit-1     write               system_u:object_r:etc_t:s0                 1              0
system_u:system_r:postfix_master_t:s0                                                  /etc/nftables     write               system_u:object_r:etc_t:s0                 1              0
system_u:system_r:postfix_master_t:s0                                                       /etc/sos     write               system_u:object_r:etc_t:s0                 1              0
system_u:system_r:postfix_master_t:s0                                                   /etc/default     write               system_u:object_r:etc_t:s0                 1              0
system_u:system_r:postfix_master_t:s0                                             /etc/reader.conf.d     write               system_u:object_r:etc_t:s0                 1              0
system_u:system_r:postfix_master_t:s0                                                    /etc/motd.d     write               system_u:object_r:etc_t:s0                 1              0
system_u:system_r:postfix_master_t:s0                                                   /etc/systemd     write               system_u:object_r:etc_t:s0                 1              0
