                      subject_context                                                                                       name operation                                   object_context  reference_result  medusa_result
system_u:system_r:postfix_master_t:s0                                                                                   /dev/snd      read                    system_u:object_r:device_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                  /dev/vfio      read                    system_u:object_r:device_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                   /dev/net      read                    system_u:object_r:device_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                /dev/mqueue      read                     system_u:object_r:tmpfs_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                /dev/mqueue     write                     system_u:object_r:tmpfs_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                /dev/fedora      read                    system_u:object_r:device_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                   /dev/dri      read                    system_u:object_r:device_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                 /dev/block      read                    system_u:object_r:device_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                  /dev/disk      read                    system_u:object_r:device_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                  /dev/char      read                    system_u:object_r:device_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                   /dev/pts      read                    system_u:object_r:devpts_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                   /dev/shm     write                     system_u:object_r:tmpfs_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                   /dev/bsg      read                    system_u:object_r:device_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                /dev/mapper      read                    system_u:object_r:device_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                 /dev/input      read                    system_u:object_r:device_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                   /dev/bus      read                    system_u:object_r:device_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                              /dev/dma_heap      read                    system_u:object_r:device_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                   /dev/cpu      read                    system_u:object_r:device_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                   /proc/fb      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                   /proc/fs      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                  /proc/bus      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                  /proc/dma      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                  /proc/irq      read                system_u:object_r:sysctl_irq_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                  /proc/sys      read                    system_u:object_r:sysctl_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                  /proc/tty      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                 /proc/acpi      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                 /proc/keys      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                 /proc/misc      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                 /proc/stat      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                /proc/iomem      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                /proc/locks      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                /proc/swaps      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                               /proc/crypto      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                               /proc/driver      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                               /proc/uptime      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                               /proc/vmstat      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                              /proc/cgroups      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                              /proc/cmdline      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                              /proc/cpuinfo      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                              /proc/devices      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                              /proc/ioports      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                              /proc/loadavg      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                              /proc/modules      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                              /proc/sysvipc      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                              /proc/version      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                             /proc/consoles      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                             /proc/slabinfo      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                             /proc/softirqs      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                             /proc/zoneinfo      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                            /proc/buddyinfo      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                            /proc/diskstats      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                            /proc/key-users      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                           /proc/interrupts      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                           /proc/kpagecount      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                           /proc/kpageflags      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                           /proc/partitions      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                           /proc/timer_list      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                          /proc/execdomains      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                          /proc/filesystems      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                          /proc/vmallocinfo      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                         /proc/pagetypeinfo      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                        /proc/dynamic_debug      read                      system_u:object_r:proc_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                        /proc/sysrq-trigger      read                    system_u:object_r:sysctl_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                              /run/tpm2-tss      read                   system_u:object_r:var_run_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                              /run/tpm2-tss     write                   system_u:object_r:var_run_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                /run/ostree      read                   system_u:object_r:var_run_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                /run/ostree     write                   system_u:object_r:var_run_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                             /run/multipath      read                   system_u:object_r:var_run_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                             /run/multipath     write                   system_u:object_r:var_run_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                            /run/cryptsetup      read                   system_u:object_r:var_run_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                            /run/cryptsetup     write                   system_u:object_r:var_run_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                            /run/tmpfiles.d      read                   system_u:object_r:var_run_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                            /run/tmpfiles.d     write                   system_u:object_r:var_run_t:s0                 1              1
system_u:system_r:postfix_master_t:s0                                                                                  /run/udev      read              system_u:object_r:udev_var_run_t:s0                 1              1
