                  subject_context                                      name operation                                        object_context  reference_result  medusa_result
system_u:system_r:postgresql_t:s0                                /dev/vcsa6      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                /dev/vcsa6     write                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                /dev/vcsu6      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                /dev/vcsu6     write                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                 /dev/vcs6      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                 /dev/vcs6     write                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                /dev/vcsa5      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                /dev/vcsa5     write                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                /dev/vcsu5      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                /dev/vcsu5     write                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                 /dev/vcs5      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                 /dev/vcs5     write                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                /dev/vcsa4      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                /dev/vcsa4     write                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                /dev/vcsu4      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                /dev/vcsu4     write                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                 /dev/vcs4      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                 /dev/vcs4     write                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                /dev/vcsa3      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                /dev/vcsa3     write                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                /dev/vcsu3      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                /dev/vcsu3     write                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                 /dev/vcs3      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                 /dev/vcs3     write                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                /dev/vcsa2      read                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                /dev/vcsa2     write                     system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:postgresql_t:s0                                /dev/vcsu2      read                     system_u:object_r:tty_device_t:s0                 0              1
