                  subject_context                                                         name operation                           object_context  reference_result  medusa_result
system_u:system_r:postgresql_t:s0                                               /var/lib/pgsql      read     system_u:object_r:postgresql_db_t:s0                 1              0
system_u:system_r:postgresql_t:s0                                               /var/lib/pgsql     write     system_u:object_r:postgresql_db_t:s0                 1              0
system_u:system_r:postgresql_t:s0 /usr/lib/.build-id/05/b6b5dcea6fffd7702ac4afa514d7b6417decbb      read   system_u:object_r:postgresql_exec_t:s0                 1              0
system_u:system_r:postgresql_t:s0 /usr/lib/.build-id/37/1c946b0ecf1c686345a36054cf831116444d52      read   system_u:object_r:postgresql_exec_t:s0                 1              0
system_u:system_r:postgresql_t:s0 /usr/lib/.build-id/82/4dd6365bbc049f8bc0c4b55fc79afa00ce31a9      read   system_u:object_r:postgresql_exec_t:s0                 1              0
system_u:system_r:postgresql_t:s0                        /var/lib/pgsql/data/global/pg_control     write unconfined_u:object_r:postgresql_db_t:s0                 1              0
system_u:system_r:postgresql_t:s0                              /var/lib/pgsql/data/global/1262     write unconfined_u:object_r:postgresql_db_t:s0                 1              0
system_u:system_r:postgresql_t:s0                              /var/lib/pgsql/data/global/2964     write unconfined_u:object_r:postgresql_db_t:s0                 1              0
system_u:system_r:postgresql_t:s0                              /var/lib/pgsql/data/global/1213     write unconfined_u:object_r:postgresql_db_t:s0                 1              0
system_u:system_r:postgresql_t:s0                              /var/lib/pgsql/data/global/1260     write unconfined_u:object_r:postgresql_db_t:s0                 1              0
system_u:system_r:postgresql_t:s0                              /var/lib/pgsql/data/global/1261     write unconfined_u:object_r:postgresql_db_t:s0                 1              0
system_u:system_r:postgresql_t:s0                              /var/lib/pgsql/data/global/1214     write unconfined_u:object_r:postgresql_db_t:s0                 1              0
system_u:system_r:postgresql_t:s0                              /var/lib/pgsql/data/global/2396     write unconfined_u:object_r:postgresql_db_t:s0                 1              0
system_u:system_r:postgresql_t:s0                              /var/lib/pgsql/data/global/6000     write unconfined_u:object_r:postgresql_db_t:s0                 1              0
system_u:system_r:postgresql_t:s0                              /var/lib/pgsql/data/global/3592     write unconfined_u:object_r:postgresql_db_t:s0                 1              0
system_u:system_r:postgresql_t:s0                              /var/lib/pgsql/data/global/6100     write unconfined_u:object_r:postgresql_db_t:s0                 1              0
system_u:system_r:postgresql_t:s0                              /var/lib/pgsql/data/global/4177     write unconfined_u:object_r:postgresql_db_t:s0                 1              0
system_u:system_r:postgresql_t:s0                              /var/lib/pgsql/data/global/4178     write unconfined_u:object_r:postgresql_db_t:s0                 1              0
system_u:system_r:postgresql_t:s0                              /var/lib/pgsql/data/global/2966     write unconfined_u:object_r:postgresql_db_t:s0                 1              0
system_u:system_r:postgresql_t:s0                              /var/lib/pgsql/data/global/2967     write unconfined_u:object_r:postgresql_db_t:s0                 1              0
system_u:system_r:postgresql_t:s0                              /var/lib/pgsql/data/global/4185     write unconfined_u:object_r:postgresql_db_t:s0                 1              0
system_u:system_r:postgresql_t:s0                              /var/lib/pgsql/data/global/4186     write unconfined_u:object_r:postgresql_db_t:s0                 1              0
system_u:system_r:postgresql_t:s0                              /var/lib/pgsql/data/global/4175     write unconfined_u:object_r:postgresql_db_t:s0                 1              0
system_u:system_r:postgresql_t:s0                              /var/lib/pgsql/data/global/4176     write unconfined_u:object_r:postgresql_db_t:s0                 1              0
system_u:system_r:postgresql_t:s0                              /var/lib/pgsql/data/global/2846     write unconfined_u:object_r:postgresql_db_t:s0                 1              0
