                        subject_context                                                                  name operation                                        object_context  reference_result  medusa_result
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/vcsa6      read                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/vcsa6     write                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/vcsu6      read                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/vcsu6     write                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                             /dev/vcs6      read                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                             /dev/vcs6     write                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/vcsa5      read                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/vcsa5     write                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/vcsu5      read                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/vcsu5     write                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                             /dev/vcs5      read                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                             /dev/vcs5     write                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/vcsa4      read                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/vcsa4     write                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/vcsu4      read                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/vcsu4     write                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                             /dev/vcs4      read                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                             /dev/vcs4     write                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/vcsa3      read                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/vcsa3     write                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/vcsu3      read                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/vcsu3     write                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                             /dev/vcs3      read                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                             /dev/vcs3     write                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/vcsa2      read                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/vcsa2     write                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/vcsu2      read                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/vcsu2     write                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                             /dev/vcs2      read                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                             /dev/vcs2     write                     system_u:object_r:tty_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/cdrom      read               system_u:object_r:removable_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/cdrom     write               system_u:object_r:removable_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                              /dev/rtc      read                   system_u:object_r:clock_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                              /dev/rtc     write                   system_u:object_r:clock_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                              /dev/snd     write                         system_u:object_r:device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                      /dev/vhost-vsock      read                   system_u:object_r:vhost_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                      /dev/vhost-vsock     write                   system_u:object_r:vhost_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                        /dev/vhost-net      read                   system_u:object_r:vhost_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                        /dev/vhost-net     write                   system_u:object_r:vhost_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                             /dev/vhci      read                   system_u:object_r:vhost_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                             /dev/vhci     write                   system_u:object_r:vhost_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                             /dev/vfio     write                         system_u:object_r:device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                           /dev/uinput      read                   system_u:object_r:event_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                           /dev/uinput     write                   system_u:object_r:event_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                              /dev/ppp      read                     system_u:object_r:ppp_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                              /dev/ppp     write                     system_u:object_r:ppp_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                              /dev/net     write                         system_u:object_r:device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                             /dev/fuse      read                    system_u:object_r:fuse_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                             /dev/fuse     write                    system_u:object_r:fuse_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                        /dev/hugepages      read                      system_u:object_r:hugetlbfs_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                        /dev/hugepages     write                      system_u:object_r:hugetlbfs_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                          /dev/initctl      read                        system_u:object_r:initctl_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                          /dev/initctl     write                        system_u:object_r:initctl_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/zram0      read              system_u:object_r:fixed_disk_device_t:s0                 0              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                            /dev/zram0     write              system_u:object_r:fixed_disk_device_t:s0                 0              0
