                        subject_context                                      name operation                                   object_context  reference_result  medusa_result
system_u:system_r:sshd_t:s0-s0:c0.c1023                                /dev/vcsa6      read                system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:sshd_t:s0-s0:c0.c1023                                /dev/vcsu6      read                system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:sshd_t:s0-s0:c0.c1023                                 /dev/vcs6      read                system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:sshd_t:s0-s0:c0.c1023                                /dev/vcsa5      read                system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:sshd_t:s0-s0:c0.c1023                                /dev/vcsu5      read                system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:sshd_t:s0-s0:c0.c1023                                 /dev/vcs5      read                system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:sshd_t:s0-s0:c0.c1023                                /dev/vcsa4      read                system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:sshd_t:s0-s0:c0.c1023                                /dev/vcsu4      read                system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:sshd_t:s0-s0:c0.c1023                                 /dev/vcs4      read                system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:sshd_t:s0-s0:c0.c1023                                /dev/vcsa3      read                system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:sshd_t:s0-s0:c0.c1023                                /dev/vcsu3      read                system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:sshd_t:s0-s0:c0.c1023                                 /dev/vcs3      read                system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:sshd_t:s0-s0:c0.c1023                                /dev/vcsa2      read                system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:sshd_t:s0-s0:c0.c1023                                /dev/vcsu2      read                system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:sshd_t:s0-s0:c0.c1023                                 /dev/vcs2      read                system_u:object_r:tty_device_t:s0                 0              1
system_u:system_r:sshd_t:s0-s0:c0.c1023                                /dev/cdrom      read          system_u:object_r:removable_device_t:s0                 0              1
