                        subject_context                                                         name operation                                        object_context  reference_result  medusa_result
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                      /dev/fd      read unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                     /dev/shm      read                          system_u:object_r:tmpfs_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                    /run/sudo      read                    system_u:object_r:pam_var_run_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                    /run/sudo     write                    system_u:object_r:pam_var_run_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                  /run/motd.d      read                   system_u:object_r:motd_var_run_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                    /run/motd      read                   system_u:object_r:motd_var_run_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                /run/sepermit      read                    system_u:object_r:pam_var_run_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                /run/sepermit     write                    system_u:object_r:pam_var_run_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                    /run/user      read                       system_u:object_r:user_tmp_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                    /run/user     write                       system_u:object_r:user_tmp_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                 /run/systemd      read                   system_u:object_r:init_var_run_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                               /proc/1085/exe      read                      system_u:object_r:sshd_exec_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                       /etc/authselect/custom     write                            system_u:object_r:etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                              /etc/ssh/moduli      read                            system_u:object_r:etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                          /etc/ssh/ssh_config      read                            system_u:object_r:etc_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                               /usr/sbin/genl      read                            system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                /usr/sbin/zic      read                            system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                            /usr/sbin/logsave      read                            system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                 /usr/sbin/ss      read                            system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                        /usr/sbin/iconvconfig      read                            system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                             /usr/sbin/mkswap      read                            system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                               /usr/sbin/vdpa      read                            system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                              /usr/sbin/capsh      read                            system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                             /usr/sbin/getcap      read                            system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                           /usr/sbin/getpcaps      read                            system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                             /usr/sbin/setcap      read                            system_u:object_r:bin_t:s0                 1              0
